136,Association des produits forestiers du Canada,Forest Products Association of Canada,2015-12-17,['Climate'],['Climate'],['Environment and Climate Change Canada']
353906,null,Canadian Climate Forum,2015-12-18,['Climate'],['Climate'],['Natural Resources Canada (NRCan)']
354066,null,Environmental Defence Fund,2015-12-22,['Environment'],['Environment'],['Environment and Climate Change Canada']
354087,null,Canada Clean Fuels,2015-12-22,"['Climate', 'Environment']","['Climate', 'Environment']",['Environment and Climate Change Canada']
354086,null,Cement Association of Canada,2015-12-22,['Environment'],['Environment'],['Environment and Climate Change Canada']
15787,La Chambre de commerce du Canada,Canadian Chamber of Commerce,2015-12-03,"['Energy', 'Environment', 'Intellectual Property', 'Climate', 'International Relations']","['Energy', 'Environment', 'Intellectual Property', 'Climate', 'International Relations']",['Environment and Climate Change Canada']
234001,null,Assiniboine Park Conservancy Inc.,2016-01-08,"['Infrastructure', 'Arts and Culture', 'Environment', 'Tourism', 'Employment and Training', 'Climate']","['Infrastructure', 'Arts and Culture', 'Environment', 'Tourism', 'Employment and Training', 'Climate']","['House of Commons', 'House of Commons', 'House of Commons', 'House of Commons', 'House of Commons', 'Infrastructure Canada', 'House of Commons', 'House of Commons', 'House of Commons', 'Innovation, Science and Economic Development Canada']"
5004,Association nucléaire canadienne,Canadian Nuclear Association,2015-12-18,"['Environment', 'Climate']","['Environment', 'Climate']",['Environment and Climate Change Canada']
270204,null,Teck Resources Limited,2015-12-17,['Mining'],['Mining'],['Environment and Climate Change Canada']
223484,null,Nova Scotia Power Incorporated,2015-11-19,"['Energy', 'Environment', 'Health']","['Energy', 'Environment', 'Health']","['Environment and Climate Change Canada', 'Environment and Climate Change Canada', 'Health Canada (HC)', 'Environment and Climate Change Canada']"
17181,ASSOCIATION CANADIENNE DE L'ELECTRICITE,CANADIAN ELECTRICITY ASSOCIATION,2015-12-08,"['Energy', 'Environment', 'Industry', 'Infrastructure', 'Security']","['Energy', 'Environment', 'Industry', 'Infrastructure', 'Security']","['Public Safety Canada (PS)', 'Environment and Climate Change Canada', 'Natural Resources Canada (NRCan)', 'Natural Resources Canada (NRCan)', 'Innovation, Science and Economic Development Canada']"
514,Conseil canadien des chefs d'entreprise,Canadian Council of Chief Executives,2015-12-10,"['Energy', 'Environment', 'Industry', 'Infrastructure', 'Transportation', 'Aboriginal Affairs', 'Climate', 'Economic Development']","['Energy', 'Environment', 'Industry', 'Infrastructure', 'Transportation', 'Aboriginal Affairs', 'Climate', 'Economic Development']",['Natural Resources Canada (NRCan)']
226041,Le fonds mondial pour la nature,World Wildlife Fund Canada,2015-11-24,"['Environment', 'Industry', 'Energy', 'Science and Technology']","['Environment', 'Industry', 'Energy', 'Science and Technology']","['Environment and Climate Change Canada', 'Environment and Climate Change Canada']"
15673,Association canadienne des carburants,Canadian Fuels Association,2015-12-04,"['Energy', 'Climate']","['Energy', 'Climate']",['Natural Resources Canada (NRCan)']
15673,Association canadienne des carburants,Canadian Fuels Association,2015-12-21,"['Environment', 'Climate']","['Environment', 'Climate']",['Environment and Climate Change Canada']
13501,COMPAGNIE GENERAL MOTORS DU CANADA,GENERAL MOTORS OF CANADA COMPANY,2015-12-14,['Environment'],['Environment'],['Environment and Climate Change Canada']
4710,null,Sherritt International Corporation,2016-01-12,"['International Relations', 'Mining', 'Climate', 'Aboriginal Affairs']","['International Relations', 'Mining', 'Climate', 'Aboriginal Affairs']",['House of Commons']
334906,null,LNG Canada Development Inc.,2015-12-15,['Energy'],['Energy'],['Environment and Climate Change Canada']
5215,Suncor Énergie Inc.,Suncor Energy Inc.,2015-12-16,"['Energy', 'Environment', 'Climate']","['Energy', 'Environment', 'Climate']",['Veterans Affairs Canada (VAC)']
5215,Suncor Énergie Inc.,Suncor Energy Inc.,2015-12-05,"['Environment', 'Climate']","['Environment', 'Climate']","['House of Commons', 'House of Commons']"
5215,Suncor Énergie Inc.,Suncor Energy Inc.,2015-12-07,"['Energy', 'Environment', 'Climate']","['Energy', 'Environment', 'Climate']","['Environment and Climate Change Canada', 'Environment and Climate Change Canada', 'Environment and Climate Change Canada']"
5215,Suncor Énergie Inc.,Suncor Energy Inc.,2015-12-04,['Climate'],['Climate'],"['House of Commons', 'House of Commons']"
5215,Suncor Énergie Inc.,Suncor Energy Inc.,2015-12-08,"['Energy', 'Environment', 'Climate']","['Energy', 'Environment', 'Climate']","['House of Commons', 'Environment and Climate Change Canada']"
5215,Suncor Énergie Inc.,Suncor Energy Inc.,2015-12-09,"['Energy', 'Environment', 'Climate']","['Energy', 'Environment', 'Climate']",['Environment and Climate Change Canada']
353272,null,Vancouver Aquarium,2015-12-09,"['Climate', 'Environment', 'Science and Technology']","['Climate', 'Environment', 'Science and Technology']",['Fisheries and Oceans Canada (DFO)']
353272,null,Vancouver Aquarium,2015-12-14,"['Climate', 'Environment', 'Science and Technology']","['Climate', 'Environment', 'Science and Technology']",['Fisheries and Oceans Canada (DFO)']
4591,null,Canadian Vehicle Manufacturers' Association,2015-12-14,['Environment'],['Environment'],['Environment and Climate Change Canada']
4669,null,PEMBINA INSTITUTE,2015-12-03,"['International Relations', 'Climate']","['International Relations', 'Climate']",['Environment and Climate Change Canada']
4669,null,PEMBINA INSTITUTE,2015-12-05,"['Energy', 'Climate']","['Energy', 'Climate']","['Environment and Climate Change Canada', 'Environment and Climate Change Canada']"
4669,null,PEMBINA INSTITUTE,2015-12-08,"['Energy', 'Environment', 'Climate']","['Energy', 'Environment', 'Climate']","['Environment and Climate Change Canada', 'Global Affairs Canada']"
563,Fertilisants Canada,Fertilizer Canada,2016-01-15,['Environment'],['Environment'],['Environment and Climate Change Canada']
274104,null,ATCO Ltd.,2015-12-09,['Energy'],['Energy'],['Environment and Climate Change Canada']
